id,tanggal,dod,crate,ramprate,maxbss
245,10/02/2024,20.64,0.2,20,600
246,11/02/2024,34.57,0.2,20,600
248,12/02/2024,32.86,0.2,20,600
249,13/02/2024,36.46,0.2,20,430
250,14/02/2024,28.39,0.2,20,600
251,15/02/2024,39.86,0.2,20,600
252,16/02/2024,35.81,0.2,20,600
253,17/02/2024,26.18,0.2,20,600
254,18/02/2024,22.85,0.2,20,600
255,19/02/2024,22.18,0.2,20,600
256,20/02/2024,28.34,0.2,20,600
259,21/02/2024,24.58,0.2,20,600
260,22/02/2024,34.37,0.2,20,600
261,23/02/2024,36.53,0.2,20,600
262,24/02/2024,22.42,0.2,20,600
263,25/02/2024,32.99,0.2,20,600
264,26/02/2024,27.6,0.2,20,600
265,27/02/2024,33.34,0.2,20,600
266,28/02/2024,24.2,0.2,20,487
267,29/02/2024,27.76,0.2,20,587
268,01/03/2024,20.93,0.2,20,561
269,02/03/2024,39.82,0.2,20,600
270,03/03/2024,29.36,0.2,20,452
271,04/03/2024,21.02,0.2,20,600
272,05/03/2024,22.61,0.2,20,520
273,06/03/2024,23.49,0.2,20,498
274,07/03/2024,24.72,0.2,20,495
275,08/03/2024,34.16,0.2,20,600
276,09/03/2024,28.47,0.2,20,600
277,10/03/2024,20.65,0.2,20,600
278,11/03/2024,22.57,0.2,20,600
279,12/03/2024,26.78,0.2,20,600
280,13/03/2024,38.94,0.2,20,600
281,14/03/2024,30.16,0.2,20,272
285,15/03/2024,24.51,0.2,20,600
286,16/03/2024,34.9,0.2,20,600
287,17/03/2024,23.67,0.2,20,600
288,18/03/2024,38.21,0.2,20,600
289,19/03/2024,20.87,0.2,20,600
290,20/03/2024,34.3,0.2,20,600
291,21/03/2024,29.25,0.2,20,600
292,22/03/2024,36.68,0.2,20,600
293,23/03/2024,22.66,0.2,20,558
294,24/03/2024,30.92,0.2,20,581
295,25/03/2024,25.19,0.2,20,581
296,26/03/2024,38.64,0.2,20,600
297,27/03/2024,25.84,0.2,20,600
300,28/03/2024,35.45,0.2,20,600
301,29/03/2024,28.51,0.2,20,600
302,30/03/2024,28.63,0.2,20,600
306,31/03/2024,27.05,0.2,20,600
307,01/04/2024,20.69,0.2,20,600
308,02/04/2024,39.64,0.2,20,600
309,03/04/2024,21.29,0.2,20,600
310,04/04/2024,31.11,0.2,20,600
312,05/04/2024,29.32,0.2,20,548
313,06/04/2024,20.32,0.2,20,320
314,07/04/2024,24.11,0.2,20,478
315,08/04/2024,35.62,0.2,20,483
316,09/04/2024,37.82,0.2,20,600
317,10/04/2024,37.21,0.2,20,600
318,11/04/2024,37.12,0.2,20,600
319,12/04/2024,33.82,0.2,20,600
320,13/04/2024,37.68,0.2,20,600
321,14/04/2024,33.25,0.2,20,600
324,15/04/2024,31.27,0.2,20,600
325,16/04/2024,24.22,0.2,20,600
326,17/04/2024,22.7,0.2,20,389
327,18/04/2024,26.55,0.2,20,600
328,19/04/2024,24.25,0.2,20,225
329,20/04/2024,26.87,0.2,20,505
330,21/04/2024,26.98,0.2,20,600
331,22/04/2024,36.58,0.2,20,600
332,23/04/2024,31.43,0.2,20,600
333,24/04/2024,36.1,0.2,20,558
334,25/04/2024,28.72,0.2,20,600
335,26/04/2024,29.26,0.2,20,600
336,27/04/2024,21.61,0.2,20,600
337,28/04/2024,22.5,0.2,20,582
339,29/04/2024,29.04,0.2,20,600
340,30/04/2024,28.69,0.2,20,600
341,01/05/2024,33.87,0.2,20,549
342,02/05/2024,36.69,0.2,20,466
343,03/05/2024,27.73,0.2,20,600
